google_url,establishment_url,scraped_item,ingredients,combined_score,attribute_scores
'https://maps.google.com/?cid=13267085063722997148','http://www.travelerstable.com/',tropical fruit plate,"toasted coconut, chopped macadamia nuts, jackfruit crème anglaise, mango-pineapple sauce",0.3358752,"{'name': np.float32(0.37440422), 'ingredient_1': np.float32(0.43510187), 'ingredient_2': np.float32(0.4192847), 'ingredient_3': np.float32(0.46124095)}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',smoked chicken salad sandwich,"fries, texas toast",0.33502048,"{'name': np.float32(0.31021014), 'ingredient_1': np.float32(0.4664516), 'ingredient_2': np.float32(0.374851), 'ingredient_3': np.float32(0.5222142)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',power quinoa bowl,,0.334024,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=13601263010284293960','https://www.foreigngrilltx.com/',mineral water barjomi,,0.33375075,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',sweet red peppers,,0.33363196,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',dr brown's,,0.33362776,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=6333958978982575875','https://www.rielhtx.com/',mushroom empanadas,"lemon, mascarpone, thyme, chimichurri",0.3333612,"{'name': np.float32(0.3371817), 'ingredient_1': np.float32(0.3553512), 'ingredient_2': np.float32(0.3989749), 'ingredient_3': np.float32(0.43733042)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',bacon,,0.3328614,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',hot tea,,0.33215573,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',s'mores espresso martini,"reveal vodka, chocolate bitters, toasted marshmallow syrup, creme de cacao, espresso",0.3318749,"{'name': np.float32(0.41000247), 'ingredient_1': np.float32(0.46516418), 'ingredient_2': np.float32(0.4281376), 'ingredient_3': np.float32(0.42635253)}"
'https://maps.google.com/?cid=14730236725027949531','http://places.singleplatform.com/kenny--ziggys-new-york-deli/menu?ref=google',matjes herring,,0.3317824,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=17197490583148868555','https://www.epasha.com/menus/main-courses.html',herbal tea,,0.3317782,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=4902502522606942362','https://www.jbarmbbq.com/menus/',chopped brisket sliders,,0.33047485,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
'https://maps.google.com/?cid=6333958978982575875','https://www.rielhtx.com/',mussels,,0.33020324,"{'name': 0, 'ingredient_1': 0, 'ingredient_2': 0, 'ingredient_3': 0}"
